date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:24:50	1256/1256	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e8-182df373dab%22	https://karafuru.io/_next/static/Q7qPmWc8mXeiW8MF4jL5U/_buildManifest.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/Q7qPmWc8mXeiW8MF4jL5U/_buildManifest.js	(from https://karafuru.io/claim)
00:24:51	117/117	---MCZ	200	added ('OK')	application/javascript	etag:W/%2275-182df3792bf%22	https://karafuru.io/_next/static/Q7qPmWc8mXeiW8MF4jL5U/_ssgManifest.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/Q7qPmWc8mXeiW8MF4jL5U/_ssgManifest.js	(from https://karafuru.io/claim)
00:24:51	92/92	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c-182df3792bf%22	https://karafuru.io/_next/static/Q7qPmWc8mXeiW8MF4jL5U/_middlewareManifest.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/Q7qPmWc8mXeiW8MF4jL5U/_middlewareManifest.js	(from https://karafuru.io/claim)
00:24:51	29843/29843	---M--	200	added ('OK')	image/png	etag:W/%227493-182df373da3%22	https://karafuru.io/_next/static/images/logo-9a30e7dd69ec05c1b92f720e5bd185c6.png	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/images/logo-9a30e7dd69ec05c1b92f720e5bd185c6.png	(from https://karafuru.io/claim)
00:24:52	7631/7631	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2017:24:50%20GMT	https://karafuru.io/	C:/My%20Web%20Sites/karafuru.io/karafuru.io/index.html	(from https://karafuru.io/claim)
00:24:53	13780/13780	---M--	200	added ('OK')	image/png	etag:W/%2235d4-182df373da3%22	https://karafuru.io/_next/static/images/logo_main-light-3e5197f6e4455247e5e7d331ea703b36.png	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/images/logo_main-light-3e5197f6e4455247e5e7d331ea703b36.png	(from https://karafuru.io/claim)
00:24:54	13780/13780	---M--	200	added ('OK')	image/png	etag:W/%2235d4-182df373da3%22	https://karafuru.io/_next/static/images/logo_main-dark-3e5197f6e4455247e5e7d331ea703b36.png	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/images/logo_main-dark-3e5197f6e4455247e5e7d331ea703b36.png	(from https://karafuru.io/claim)
00:24:54	67023/67023	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2017:24:53%20GMT	https://karafuru.io/news	C:/My%20Web%20Sites/karafuru.io/karafuru.io/news.html	(from https://karafuru.io/claim)
00:24:55	7640/7640	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2017:24:53%20GMT	https://karafuru.io/gallery	C:/My%20Web%20Sites/karafuru.io/karafuru.io/gallery.html	(from https://karafuru.io/claim)
00:24:55	42769/42769	---M--	200	added ('OK')	image/png	etag:W/%22a711-182df373da3%22	https://karafuru.io/_next/static/images/logo_all-white-83ffce644ac302e6c92bbe2e84d3d2ce.png	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/images/logo_all-white-83ffce644ac302e6c92bbe2e84d3d2ce.png	(from https://karafuru.io/claim)
00:24:55	62592/62592	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22f480-182df373d97%22	https://karafuru.io/_next/static/media/icomoon.5cdf08a3.eot	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.5cdf08a3.eot	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:56	62428/62428	---MCZ	200	added ('OK')	font/ttf	etag:W/%22f3dc-182df373d97%22	https://karafuru.io/_next/static/media/icomoon.e3c8f6df.ttf	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.e3c8f6df.ttf	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:56	62504/62504	---M--	200	added ('OK')	font/woff	etag:W/%22f428-182df373d97%22	https://karafuru.io/_next/static/media/icomoon.dd0c2dd7.woff	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.dd0c2dd7.woff	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:56	170906/170906	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2229b9a-182df373d97%22	https://karafuru.io/_next/static/media/icomoon.75df9e94.svg	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.75df9e94.svg	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:56	56664/56664	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22dd58-182df373d97%22	https://karafuru.io/_next/static/media/icomoon.910a29d4.eot	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.910a29d4.eot	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:56	56500/56500	---MCZ	200	added ('OK')	font/ttf	etag:W/%22dcb4-1828abd4e18%22	https://karafuru.io/_next/static/media/icomoon.c3b2e10a.ttf	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.c3b2e10a.ttf	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:57	56576/56576	---M--	200	added ('OK')	font/woff	etag:W/%22dd00-182df373d97%22	https://karafuru.io/_next/static/media/icomoon.b0e4ecef.woff	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.b0e4ecef.woff	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:57	155126/155126	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2225df6-182df373d97%22	https://karafuru.io/_next/static/media/icomoon.cb9a60a4.svg	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.cb9a60a4.svg	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:57	47000/47000	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22b798-182df373d97%22	https://karafuru.io/_next/static/media/icomoon.36cfea59.eot	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.36cfea59.eot	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:57	46836/46836	---MCZ	200	added ('OK')	font/ttf	etag:W/%22b6f4-182df373d97%22	https://karafuru.io/_next/static/media/icomoon.e1f0aabf.ttf	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.e1f0aabf.ttf	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:57	46912/46912	---M--	200	added ('OK')	font/woff	etag:W/%22b740-182df373d97%22	https://karafuru.io/_next/static/media/icomoon.68ef9217.woff	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.68ef9217.woff	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:58	134409/134409	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2220d09-182df373d97%22	https://karafuru.io/_next/static/media/icomoon.775d84b0.svg	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.775d84b0.svg	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:58	11744/11744	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222de0-182df373d97%22	https://karafuru.io/_next/static/media/icomoon.49c7019d.eot	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.49c7019d.eot	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:58	11580/11580	---MCZ	200	added ('OK')	font/ttf	etag:W/%222d3c-1828abd4e18%22	https://karafuru.io/_next/static/media/icomoon.9c71ab6d.ttf	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.9c71ab6d.ttf	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:59	11656/11656	---M--	200	added ('OK')	font/woff	etag:W/%222d88-182df373d97%22	https://karafuru.io/_next/static/media/icomoon.1008b165.woff	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.1008b165.woff	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:24:59	31918/31918	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227cae-182df373d97%22	https://karafuru.io/_next/static/media/icomoon.c86e0603.svg	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/icomoon.c86e0603.svg	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:01	4178/4178	---M--	200	added ('OK')	image/gif	etag:W/%221052-182df373d97%22	https://karafuru.io/_next/static/media/ajax-loader.0b80f665.gif	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/ajax-loader.0b80f665.gif	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:01	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22800-182df373d97%22	https://karafuru.io/_next/static/media/slick.25572f22.eot	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/slick.25572f22.eot	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:02	1380/1380	---M--	200	added ('OK')	font/woff	etag:W/%22564-182df373d97%22	https://karafuru.io/_next/static/media/slick.653a4cbb.woff	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/slick.653a4cbb.woff	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:02	1892/1892	---MCZ	200	added ('OK')	font/ttf	etag:W/%22764-182df373d97%22	https://karafuru.io/_next/static/media/slick.6aa1ee46.ttf	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/slick.6aa1ee46.ttf	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:02	2152/2152	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22868-182df373d97%22	https://karafuru.io/_next/static/media/slick.f895cfdf.svg	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/slick.f895cfdf.svg	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:03	61944/61944	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22f1f8-182df373d93%22	https://karafuru.io/_next/static/media/ChunkyRosie.1468b998.eot	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/ChunkyRosie.1468b998.eot	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:03	55992/55992	---M--	200	added ('OK')	font/woff	etag:W/%22dab8-182df373d93%22	https://karafuru.io/_next/static/media/ChunkyRosie.5eeffaae.woff	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/ChunkyRosie.5eeffaae.woff	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:03	61716/61716	---MCZ	200	added ('OK')	font/ttf	etag:W/%22f114-182df373d93%22	https://karafuru.io/_next/static/media/ChunkyRosie.18adeefa.ttf	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/ChunkyRosie.18adeefa.ttf	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:03	102092/102092	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2218ecc-182df373d93%22	https://karafuru.io/_next/static/media/ChunkyRosie.f67494aa.svg	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/ChunkyRosie.f67494aa.svg	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:04	130079/130079	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221fc1f-182df373d93%22	https://karafuru.io/_next/static/media/Nunito-Regular.209efc58.eot	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/Nunito-Regular.209efc58.eot	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:04	76596/76596	---M--	200	added ('OK')	font/woff	etag:W/%2212b34-1828abd4e14%22	https://karafuru.io/_next/static/media/Nunito-Regular.35757542.woff	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/Nunito-Regular.35757542.woff	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:04	152932/152932	---MCZ	200	added ('OK')	font/ttf	etag:W/%2225564-182df373d93%22	https://karafuru.io/_next/static/media/Nunito-Regular.356cf140.ttf	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/Nunito-Regular.356cf140.ttf	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:04	723420/723420	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b09dc-182df373d93%22	https://karafuru.io/_next/static/media/Nunito-Regular.015c03b5.svg	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/Nunito-Regular.015c03b5.svg	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:05	141074/141074	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2222712-182df373d93%22	https://karafuru.io/_next/static/media/Nunito-Black.28879990.eot	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/Nunito-Black.28879990.eot	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:05	79088/79088	---M--	200	added ('OK')	font/woff	etag:W/%22134f0-182df373d93%22	https://karafuru.io/_next/static/media/Nunito-Black.820bc8f9.woff	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/Nunito-Black.820bc8f9.woff	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:06	155864/155864	---MCZ	200	added ('OK')	font/ttf	etag:W/%22260d8-182df373d97%22	https://karafuru.io/_next/static/media/Nunito-Black.099f3e00.ttf	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/Nunito-Black.099f3e00.ttf	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:07	755882/755882	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b88aa-182df373d97%22	https://karafuru.io/_next/static/media/Nunito-Black.96edec71.svg	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/Nunito-Black.96edec71.svg	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:09	663/663	---M--	200	added ('OK')	image/png	etag:W/%22297-182df373d8f%22	https://karafuru.io/_next/static/media/nav-underline.6995f6e9.png	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/nav-underline.6995f6e9.png	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:09	111559/111559	---M--	200	added ('OK')	image/png	etag:W/%221b3c7-182df373d8f%22	https://karafuru.io/_next/static/media/bg-text-headline-mobile.26ed08e6.png	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/bg-text-headline-mobile.26ed08e6.png	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:09	1012302/1012302	---M--	200	added ('OK')	image/png	etag:W/%22f724e-180f6acaab8%22	https://karafuru.io/_next/static/media/bg-text-headline.5a1cd8fe.png	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/bg-text-headline.5a1cd8fe.png	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:09	201313/201313	---M--	200	added ('OK')	image/png	etag:W/%2231261-18257bd7279%22	https://karafuru.io/_next/static/media/bg-text-headline-semi-desktop.dbe8a467.png	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/bg-text-headline-semi-desktop.dbe8a467.png	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:09	71510/71510	---M--	200	added ('OK')	image/jpeg	etag:W/%2211756-1828abd4e10%22	https://karafuru.io/_next/static/media/pattern-dark.781a0918.jpg	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/pattern-dark.781a0918.jpg	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:10	109626/109626	---M--	200	added ('OK')	image/jpeg	etag:W/%221ac3a-18257bd7279%22	https://karafuru.io/_next/static/media/pattern-pink.c36990f3.jpg	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/pattern-pink.c36990f3.jpg	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:10	851739/851739	---M--	200	added ('OK')	image/jpeg	etag:W/%22cff1b-18257bd7279%22	https://karafuru.io/_next/static/media/bg_blue.cf1db473.jpg	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/bg_blue.cf1db473.jpg	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:10	507822/507822	---M--	200	added ('OK')	image/jpeg	etag:W/%227bfae-18257bd7279%22	https://karafuru.io/_next/static/media/bg_karafuru-main.9361134a.jpg	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/bg_karafuru-main.9361134a.jpg	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:11	847924/847924	---M--	200	added ('OK')	image/png	etag:W/%22cf034-182df373d93%22	https://karafuru.io/_next/static/media/bg-claims-pattern.f04d243b.png	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/bg-claims-pattern.f04d243b.png	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:11	720935/720935	---M--	200	added ('OK')	image/jpeg	etag:W/%22b0027-182df373d8f%22	https://karafuru.io/_next/static/media/bg_redeem.f638aa6f.jpeg	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/bg_redeem.f638aa6f.jpg	(from https://karafuru.io/_next/static/css/13cbd3732a0844ad.css)
00:25:11	84528/84528	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214a30-182d84fc734%22	https://karafuru.io/_next/static/chunks/pages/index-b63e8ee9a449ec33.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/chunks/pages/index-b63e8ee9a449ec33.js	(from https://karafuru.io/)
00:25:12	8681/8681	---MCZ	200	added ('OK')	application/javascript	etag:W/%2221e9-182d84fc734%22	https://karafuru.io/_next/static/chunks/pages/news-c60287918f72dcd0.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/chunks/pages/news-c60287918f72dcd0.js	(from https://karafuru.io/news)
00:25:17	3811741/3811741	---MCZ	200	added ('OK')	application/javascript	etag:W/%223a299d-182df373daf%22	https://karafuru.io/_next/static/chunks/pages/gallery-b513eb9a1c41c548.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/chunks/pages/gallery-b513eb9a1c41c548.js	(from https://karafuru.io/gallery)
00:25:17	3233/3233	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Sep%202022%2017:25:16%20GMT	https://karafuru.io/_next/static/media/uni030C.alt.t	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/uni030C.alt.t	(from https://karafuru.io/_next/static/media/Nunito-Regular.015c03b5.svg)
00:25:18	3233/3233	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Sep%202022%2017:25:16%20GMT	https://karafuru.io/_next/static/media/uni0335.t	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/media/uni0335.t	(from https://karafuru.io/_next/static/media/Nunito-Regular.015c03b5.svg)
